author	affiliation	abstract_id
Achim Goerres	University of Duisburg-Essen, Germany	674
Achim Goerres	University of Duisburg-Essen, Germany	750
Achim Goerres	University of Duisburg-Essen, Germany	1279
Achim Goerres	University of Duisburg-Essen, Germany	679
Adrian del Rio	Berlin Social Science Centre, Germany	641
Adrian del Rio	Berlin Social Science Centre, Germany	633
Agni Poullikka	City, University of London, United Kingdom	307
Albert Falcó-Gimeno	University of Barcelona, Spain	1818
Albert Falcó-Gimeno	University of Barcelona, Spain	1187
Albert Falcó-Gimeno	University of Barcelona, Spain	1933
Albert Solé-Ollé	University of Barcelona, Spain	1945
Alessandro Del Ponte	University of Alabama, USA	1734
Alessandro Del Ponte	University of Alabama, USA	1982
Alessandro Del Ponte	University of Alabama, USA	660
Alexander Kuo	University of Oxford, United Kingdom	1140
Alexander Wuttke	Ludwig Maximilian University of Munich, Germany && University of Munich, Germany	1909
Alexander Wuttke	Ludwig Maximilian University of Munich, Germany && University of Munich, Germany	717
Alexandra Guisinger	Temple University, USA	1774
Alexandra Guisinger	Temple University, USA	604
Andrea Ceron	Università degli Studi di Milano, Italy	1106
Andrea Ruggeri	University of Oxford, United Kingdom	1479
Andreas Kotsadam	Frisch Centre, Norway	1909
Andreas Kotsadam	Frisch Centre, Norway	717
Andrew Klassen	Humansurveys.org, USA	90
Anja Neundorf	University of Glasgow, United Kingdom	1556
Anja Neundorf	University of Glasgow, United Kingdom	1009
Anja Neundorf	University of Glasgow, United Kingdom	294
Anja Neundorf	University of Glasgow, United Kingdom	1524
Anne Degrave	Institute for Advanced Study in Toulouse, France	1682
Anne Rasmussen	Kings College London, United Kingdom	1831
Anne Rasmussen	Kings College London, United Kingdom	1825
Antonia Lang	Goethe University Frankfurt am Main, Germany	232
Antonia Lang	Goethe University Frankfurt am Main, Germany	237
Aparna Ravi	University College London, United Kingdom	1795
Asli Unan	Humboldt University Berlin, Germany	695
Asli Unan	Humboldt University Berlin, Germany	373
Asli Unan	Humboldt University Berlin, Germany	1129
Asli Unan	Humboldt University Berlin, Germany	873
Aykut Ozturk	University of Glasgow, United Kingdom	1556
Aykut Ozturk	University of Glasgow, United Kingdom	1009
Aykut Ozturk	University of Glasgow, United Kingdom	1524
Beltran Alejandro	Alan Turing Institute, United Kingdom	2038
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1921
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1848
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1872
Boram Lee	London School of Economics and Political Science, United Kingdom	227
Bradley Smith	Vanderbilt University, USA	1781
Carl Henrik Knutsen	University of Oslo, Norway	415
Carl Henrik Knutsen	University of Oslo, Norway	1210
Carl Henrik Knutsen	University of Oslo, Norway	952
Carl Henrik Knutsen	University of Oslo, Norway	225
Carl Henrik Knutsen	University of Oslo, Norway	485
Carlos Mendez	University of Strathclyde, United Kingdom	1967
Carlos Mendez	University of Strathclyde, United Kingdom	2049
Carol Galais	Universitat Autònoma de Barcelona, Spain	946
Carol Galais	Universitat Autònoma de Barcelona, Spain	607
Catherine Hafer	New York University, USA	2045
Christian Freudlsperger	ETH Zürich, Switzerland	1730
Christian Freudlsperger	ETH Zürich, Switzerland	421
Christopher Anderson	London School of Economics and Political Science, United Kingdom	4
Christopher Anderson	London School of Economics and Political Science, United Kingdom	1847
Damien Bol	Kings College London, United Kingdom	90
Damien Bol	Kings College London, United Kingdom	172
Damien Bol	Kings College London, United Kingdom	1847
Daniel Favre	Universitat Autònoma de Barcelona, Spain	1945
Daniel Saldivia Gonzatti	WZB Berlin Social Science Center, Germany	986
Daniel Saldivia Gonzatti	WZB Berlin Social Science Center, Germany	1001
Darrell Driver	U.S. Army War College, USA	210
David Beck	Institute for Political Science, University of Bamberg, Germany	1276
David Beck	Institute for Political Science, University of Bamberg, Germany	1873
David Schweizer	University of Mannheim, Germany	1483
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	344
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	388
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	1325
Davide Vittori	Université Libre de Bruxelles, Belgium	1531
Davide Vittori	Université Libre de Bruxelles, Belgium	1390
Davide Vittori	Université Libre de Bruxelles, Belgium	634
Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	598
Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	1512
Despina Alexiadou	University of Strathclyde, United Kingdom	327
Diane Bolet	University of Zurich, Switzerland	525
Diane Bolet	University of Zurich, Switzerland	1975
Diane Bolet	University of Zurich, Switzerland	1545
Dominik Hangartner	ETH Zürich, Switzerland	947
Dominik Hangartner	ETH Zürich, Switzerland	1778
Dominik Hangartner	ETH Zürich, Switzerland	1491
Dominik Hangartner	ETH Zürich, Switzerland	1840
Dominik Hangartner	ETH Zürich, Switzerland	1634
Ebru Ece Özbey	IMPRS-SCE, Germany && Max-Planck-Institut für Gesellschaftsforschung, Germany	2048
Ebru Ece Özbey	IMPRS-SCE, Germany && Max-Planck-Institut für Gesellschaftsforschung, Germany	1709
Elias Dinas	European University Institute, Italy	867
Elias Dinas	European University Institute, Italy	1812
Eline de Rooij	Simon Fraser University, Canada	1174
Elliott Green	London School of Economics and Political Science, United Kingdom	261
Emiliano Grossman	Sciences Po / CEE, France	1990
Emiliano Grossman	Sciences Po / CEE, France	1553
Emilien Paulis	Université du Luxembourg, Luxembourg && Université Libre de Bruxelles, Belgium	1390
Emilien Paulis	Université du Luxembourg, Luxembourg && Université Libre de Bruxelles, Belgium	634
Emily Frank	Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	123
Emily Frank	Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	121
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	677
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	946
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	607
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	1421
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	999
Erik Voeten	Georgetown University, USA	499
Erik Voeten	Georgetown University, USA	847
Erin York	Vanderbilt University, USA	597
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	946
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1254
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1401
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1258
Eva Wegner	Marburg University, Germany	2022
Eva Wegner	Marburg University, Germany	2023
Fabio Angiolillo	University of Gothenburg, Sweden	424
Fabio Angiolillo	University of Gothenburg, Sweden	880
Fabio Votta	University of Amsterdam, Netherlands	1644
Fabio Votta	University of Amsterdam, Netherlands	1677
Fedra Negri	Università degli Studi di Milano - Bicocca, Italy	795
Fedra Negri	Università degli Studi di Milano - Bicocca, Italy	1075
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	995
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	1253
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	632
Felix Hartmann	Humboldt University of Berlin, Germany	1490
Felix Hartmann	Humboldt University of Berlin, Germany	428
Filip Milacic	Friedrich Ebert Foundation && Democracy Institute, CEU, Austria	405
Florian Lichtin	ETH Zürich, Switzerland	1528
Florian Lichtin	ETH Zürich, Switzerland	1363
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	639
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	1148
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	901
Franziska Quoß	ETH Zürich, Switzerland	793
Gabriele Spilker	Universität Konstanz, Germany. University of Konstanz, Germany	211
Gabriele Spilker	Universität Konstanz, Germany. University of Konstanz, Germany	1227
Gabriele Spilker	Universität Konstanz, Germany. University of Konstanz, Germany	961
Gail McElroy	Trinity College Dublin, Ireland	539
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	1198
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	398
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	809
Gefjon Off	Gothenburg University, Department of Political Science, Sweden	48
Gefjon Off	Gothenburg University, Department of Political Science, Sweden	1258
Gerald Schneider	University of Konstanz, Germany	1406
Gerald Schneider	University of Konstanz, Germany	993
Gerald Schneider	University of Konstanz, Germany	1026
Giuliano Formisano	Oxford Internet Institute, University of Oxford, United Kingdom	992
Giuliano Formisano	Oxford Internet Institute, University of Oxford, United Kingdom	1856
Gudlaug Olafsdottir	Uppsala University, Sweden	1093
Guido Panzano	Université Libre de Bruxelles, Belgium	983
