author	affiliation	abstract_id	role	session_id	presenter
Miceal Canavan	Aarhus University, Denmark	1807	p	NA	n
Miceal Canavan	Aarhus University, Denmark	1717	p	NA	y
Niels Bjørn Grund Petersen	Aarhus University, Denmark && Danish Center for Social Science Research (VIVE), Denmark	870	p	NA	n
Niels Bjørn Grund Petersen	Aarhus University, Denmark && Danish Center for Social Science Research (VIVE), Denmark	1018	p	NA	n
Beltran Alejandro	Alan Turing Institute, United Kingdom	2038	p	NA	y
Beltran Alejandro	Alan Turing Institute, United Kingdom	NA	d	70585	NA
Robert Walker	Atkinson Graduate School of Management, WIllamette University, USA	1961	p	NA	y
Robert Walker	Atkinson Graduate School of Management, WIllamette University, USA	NA	d	70539	NA
Adrian del Rio	Berlin Social Science Centre, Germany	641	p	NA	y
Adrian del Rio	Berlin Social Science Centre, Germany	633	p	NA	y
Adrian del Rio	Berlin Social Science Centre, Germany	NA	c	53550	NA
Mariana Carvalho	Brown University, USA && UCSD, USA	472	p	NA	y
Mariana Carvalho	Brown University, USA && UCSD, USA	NA	c	70590	NA
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany	1809	p	NA	y
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany	1806	p	NA	y
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany	1279	p	NA	n
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany	NA	d	53583	NA
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	356	p	NA	y
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	286	p	NA	y
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	1553	p	NA	n
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	NA	c	53455	NA
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	NA	c	70832	NA
Marco Nicola Binetti	Center for Crisis Early Warning - Universität der Bundeswehr München, Germany	320	p	NA	y
Marco Nicola Binetti	Center for Crisis Early Warning - Universität der Bundeswehr München, Germany	134	p	NA	y
Konstantin Vössing	City University of London, United Kingdom	2012	p	NA	n
Konstantin Vössing	City University of London, United Kingdom	1787	p	NA	y
Konstantin Vössing	City University of London, United Kingdom	NA	c	70581	NA
Agni Poullikka	City University of London, United Kingdom	307	p	NA	y
Agni Poullikka	City University of London, United Kingdom	NA	d	53484	NA
Agni Poullikka	City University of London, United Kingdom	NA	d	53504	NA
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	388	p	NA	y
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	344	p	NA	n
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	1325	p	NA	y
Davide Morisi	Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	NA	d	70602	NA
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	972	p	NA	y
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	553	p	NA	n
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	1087	p	NA	y
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	NA	c	70714	NA
Nils Düpont	CRC 1342, University of Bremen, Germany	781	p	NA	y
Nils Düpont	CRC 1342, University of Bremen, Germany	NA	c	53490	NA
Simon T. Franzmann	Department for Democracy Research, University of Goettingen, Germany	632	p	NA	y
Simon T. Franzmann	Department for Democracy Research, University of Goettingen, Germany	NA	c	53552	NA
Verena Reidinger	Department of Political Science, University of Zurich, Switzerland	17	p	NA	y
Verena Reidinger	Department of Political Science, University of Zurich, Switzerland	14	p	NA	y
Verena Reidinger	Department of Political Science, University of Zurich, Switzerland	NA	c	70851	NA
Marine Casalis	ETH Zürich, Switzerland	1840	p	NA	n
Marine Casalis	ETH Zürich, Switzerland	1634	p	NA	n
Massimo Troncone	ETH Zürich, Switzerland	1814	p	NA	y
Massimo Troncone	ETH Zürich, Switzerland	1505	p	NA	y
Christian Freudlsperger	ETH Zürich, Switzerland	421	p	NA	y
Christian Freudlsperger	ETH Zürich, Switzerland	1730	p	NA	y
Christian Freudlsperger	ETH Zürich, Switzerland	NA	d	53498	NA
Dominik Hangartner	ETH Zürich, Switzerland	947	p	NA	n
Dominik Hangartner	ETH Zürich, Switzerland	1840	p	NA	n
Dominik Hangartner	ETH Zürich, Switzerland	1778	p	NA	y
Dominik Hangartner	ETH Zürich, Switzerland	1634	p	NA	n
Dominik Hangartner	ETH Zürich, Switzerland	1491	p	NA	n
Dominik Hangartner	ETH Zürich, Switzerland	NA	c	53545	NA
Florian Lichtin	ETH Zürich, Switzerland	1528	p	NA	y
Florian Lichtin	ETH Zürich, Switzerland	1363	p	NA	n
Franziska Quoß	ETH Zürich, Switzerland	793	p	NA	y
Franziska Quoß	ETH Zürich, Switzerland	NA	c	53505	NA
Franziska Quoß	ETH Zürich, Switzerland	NA	d	53505	NA
Jan Freihardt	ETH Zürich, Switzerland	954	p	NA	n
Jan Freihardt	ETH Zürich, Switzerland	1492	p	NA	y
