session_id	session_ref	session_track	session_title	chair	chair_affiliation	discussant	discussant_affiliation	abstract_id
78288	NA	NA	CUP Meeting	NA	NA	NA	NA	NA
78282	NA	NA	Sawers Meeting	NA	NA	NA	NA	NA
74953	NA	NA	Friday After-Party Reception	NA	NA	NA	NA	NA
74952	NA	NA	EUP Editorial Board Meeting	NA	NA	NA	NA	NA
74640	BO08	Behaviour and Opinion	Citizen views of policy-trade offs	Staffan Kumlim	NA	NA	NA	356
74640	BO08	Behaviour and Opinion	Citizen views of policy-trade offs	Staffan Kumlim	NA	NA	NA	561
74640	BO08	Behaviour and Opinion	Citizen views of policy-trade offs	Staffan Kumlim	NA	NA	NA	599
74640	BO08	Behaviour and Opinion	Citizen views of policy-trade offs	Staffan Kumlim	NA	NA	NA	1363
74640	BO08	Behaviour and Opinion	Citizen views of policy-trade offs	Staffan Kumlim	NA	NA	NA	958
74639	NA	NA	SE4 Adam Smith Event	NA	NA	NA	NA	NA
72241	NA	NA	CSES Reception	NA	NA	NA	NA	NA
72240	NA	NA	CSES Panel	NA	NA	NA	NA	1771
72233	SE1 Diversity Meeting	Gender Politics and Diversity	Diversity Panel: First Generation Political Scientists 	Thomas Sattler	University of Geneva, Switzerland	Carolina Garriga	University of Essex, United Kingdom	NA
71286	CP08	Comparative Politics	Local versus national politics	Leticia Barbabela	Philipps-Universität Marburg, Germany	Roland Kappe	University College London, United Kingdom	1052
71286	CP08	Comparative Politics	Local versus national politics	Leticia Barbabela	Philipps-Universität Marburg, Germany	Roland Kappe	University College London, United Kingdom	381
71286	CP08	Comparative Politics	Local versus national politics	Leticia Barbabela	Philipps-Universität Marburg, Germany	Roland Kappe	University College London, United Kingdom	1669
71049	IR13	IR & Conflict	Social Media and Political Violence	Anita Gohdes	NA	Anita Gohdes	NA	526
71049	IR13	IR & Conflict	Social Media and Political Violence	Anita Gohdes	NA	Anita Gohdes	NA	950
71049	IR13	IR & Conflict	Social Media and Political Violence	Anita Gohdes	NA	Anita Gohdes	NA	1497
71049	IR13	IR & Conflict	Social Media and Political Violence	Anita Gohdes	NA	Anita Gohdes	NA	1671
70992	BO72	Behaviour and Opinion	Weather experiences and attitudes towards the environment and climate policies	Damien Bol	Kings College London, United Kingdom	Liam Beiser-McGrath	London School of Economics, United Kingdom	971
70992	BO72	Behaviour and Opinion	Weather experiences and attitudes towards the environment and climate policies	Damien Bol	Kings College London, United Kingdom	Liam Beiser-McGrath	London School of Economics, United Kingdom	1013
70992	BO72	Behaviour and Opinion	Weather experiences and attitudes towards the environment and climate policies	Damien Bol	Kings College London, United Kingdom	Liam Beiser-McGrath	London School of Economics, United Kingdom	1488
70992	BO72	Behaviour and Opinion	Weather experiences and attitudes towards the environment and climate policies	Damien Bol	Kings College London, United Kingdom	Liam Beiser-McGrath	London School of Economics, United Kingdom	1847
70991	BO70	Behaviour and Opinion	Voting and Economic Perceptions	Jonathan Polk	Lund University, Sweden	Mark Kayser	NA	332
70991	BO70	Behaviour and Opinion	Voting and Economic Perceptions	Jonathan Polk	Lund University, Sweden	Mark Kayser	NA	1154
70991	BO70	Behaviour and Opinion	Voting and Economic Perceptions	Jonathan Polk	Lund University, Sweden	Mark Kayser	NA	1189
70990	BO71	Behaviour and Opinion	Voting, biases and consequences	Jochen Rehmert	NA	Jeyhun Alizade	Princeton University, USA	172
70990	BO71	Behaviour and Opinion	Voting, biases and consequences	Jochen Rehmert	NA	Jeyhun Alizade	Princeton University, USA	276
70990	BO71	Behaviour and Opinion	Voting, biases and consequences	Jochen Rehmert	NA	Jeyhun Alizade	Princeton University, USA	301
70990	BO71	Behaviour and Opinion	Voting, biases and consequences	Jochen Rehmert	NA	Jeyhun Alizade	Princeton University, USA	408
70990	BO71	Behaviour and Opinion	Voting, biases and consequences	Jochen Rehmert	NA	Jeyhun Alizade	Princeton University, USA	1331
70853	BO69	Behaviour and Opinion	Understanding citizen support for democracy	Eri Bertsou	University of St.Gallen, Switzerland	Nadja Wehl	University of Konstanz, Germany	717
70853	BO69	Behaviour and Opinion	Understanding citizen support for democracy	Eri Bertsou	University of St.Gallen, Switzerland	Nadja Wehl	University of Konstanz, Germany	1009
70853	BO69	Behaviour and Opinion	Understanding citizen support for democracy	Eri Bertsou	University of St.Gallen, Switzerland	Nadja Wehl	University of Konstanz, Germany	1036
70853	BO69	Behaviour and Opinion	Understanding citizen support for democracy	Eri Bertsou	University of St.Gallen, Switzerland	Nadja Wehl	University of Konstanz, Germany	1234
70852	BO68	Behaviour and Opinion	Trust in government and politicians	Daniel Devine	NA	Daniel Devine	NA	53
70852	BO68	Behaviour and Opinion	Trust in government and politicians	Daniel Devine	NA	Daniel Devine	NA	240
70852	BO68	Behaviour and Opinion	Trust in government and politicians	Daniel Devine	NA	Daniel Devine	NA	410
70852	BO68	Behaviour and Opinion	Trust in government and politicians	Daniel Devine	NA	Daniel Devine	NA	559
70852	BO68	Behaviour and Opinion	Trust in government and politicians	Daniel Devine	NA	Daniel Devine	NA	1100
70851	BO67	Behaviour and Opinion	Threat perceptions	Verena Reidinger	NA	Katharina Lawall	NA	135
70851	BO67	Behaviour and Opinion	Threat perceptions	Verena Reidinger	NA	Katharina Lawall	NA	514
70851	BO67	Behaviour and Opinion	Threat perceptions	Verena Reidinger	NA	Katharina Lawall	NA	710
70851	BO67	Behaviour and Opinion	Threat perceptions	Verena Reidinger	NA	Katharina Lawall	NA	973
70850	BO66	Behaviour and Opinion	Theories of Voting in different Electoral Systems	Jae-Hee Jung	University of Houston, USA	Garret Binding	University of Zurich, Switzerland	253
70850	BO66	Behaviour and Opinion	Theories of Voting in different Electoral Systems	Jae-Hee Jung	University of Houston, USA	Garret Binding	University of Zurich, Switzerland	325
70850	BO66	Behaviour and Opinion	Theories of Voting in different Electoral Systems	Jae-Hee Jung	University of Houston, USA	Garret Binding	University of Zurich, Switzerland	418
70850	BO66	Behaviour and Opinion	Theories of Voting in different Electoral Systems	Jae-Hee Jung	University of Houston, USA	Garret Binding	University of Zurich, Switzerland	1551
70850	BO66	Behaviour and Opinion	Theories of Voting in different Electoral Systems	Jae-Hee Jung	University of Houston, USA	Garret Binding	University of Zurich, Switzerland	1896
70848	BO65	Behaviour and Opinion	The urban/rural divide, polarisation and policies	Marta Eidheim	Univresity of Bergen, Norway	Tabea Palmtag	NA	1316
70848	BO65	Behaviour and Opinion	The urban/rural divide, polarisation and policies	Marta Eidheim	Univresity of Bergen, Norway	Tabea Palmtag	NA	1468
70848	BO65	Behaviour and Opinion	The urban/rural divide, polarisation and policies	Marta Eidheim	Univresity of Bergen, Norway	Tabea Palmtag	NA	1700
70848	BO65	Behaviour and Opinion	The urban/rural divide, polarisation and policies	Marta Eidheim	Univresity of Bergen, Norway	Tabea Palmtag	NA	1913
70847	BO64	Behaviour and Opinion	The social roots of affective polarization	Eelco Harteveld	University of Amsterdam, Netherlands	Luana Russo	Maastricht University, Netherlands	41
70847	BO64	Behaviour and Opinion	The social roots of affective polarization	Eelco Harteveld	University of Amsterdam, Netherlands	Luana Russo	Maastricht University, Netherlands	716
70847	BO64	Behaviour and Opinion	The social roots of affective polarization	Eelco Harteveld	University of Amsterdam, Netherlands	Luana Russo	Maastricht University, Netherlands	782
70847	BO64	Behaviour and Opinion	The social roots of affective polarization	Eelco Harteveld	University of Amsterdam, Netherlands	Luana Russo	Maastricht University, Netherlands	1424
70846	BO63	Behaviour and Opinion	The politics of climate change	Silvia Pianta	NA	Patrick Bayer	NA	640
70846	BO63	Behaviour and Opinion	The politics of climate change	Silvia Pianta	NA	Patrick Bayer	NA	1492
70846	BO63	Behaviour and Opinion	The politics of climate change	Silvia Pianta	NA	Patrick Bayer	NA	961
70845	BO62	Behaviour and Opinion	The political psychology of affective polarization	Fernando Feitosa	University of Brussels, Belgium	Markus Wagner	University of Vienna, Austria	789
70845	BO62	Behaviour and Opinion	The political psychology of affective polarization	Fernando Feitosa	University of Brussels, Belgium	Markus Wagner	University of Vienna, Austria	946
70845	BO62	Behaviour and Opinion	The political psychology of affective polarization	Fernando Feitosa	University of Brussels, Belgium	Markus Wagner	University of Vienna, Austria	1194
70845	BO62	Behaviour and Opinion	The political psychology of affective polarization	Fernando Feitosa	University of Brussels, Belgium	Markus Wagner	University of Vienna, Austria	1366
70845	BO62	Behaviour and Opinion	The political psychology of affective polarization	Fernando Feitosa	University of Brussels, Belgium	Markus Wagner	University of Vienna, Austria	1611
70844	BO61	Behaviour and Opinion	Political effects of media exposure	NA	NA	Clara Vandeweerdt	NA	124
70844	BO61	Behaviour and Opinion	Political effects of media exposure	NA	NA	Clara Vandeweerdt	NA	1392
